Reviewer,Rating,Title,Date,Body
soham dutta,1.0,Counterfeit product.,10 January 2025,The volatility is absurdly high and the smell is also different. One cartridge gets over within a week for an average use of 5-6 hours in a day.
DURGESH KUMAR PRASAD,5.0,Good for mosquito,10 January 2025,Like this product
Amarjeet Singh,1.0,Out of 6 only 5 item received,8 January 2025,"One item miss
3 people found this helpful"
Padmalava S.,1.0,Bad in quality not working good,5 January 2025,Not working in Lucknow 2024 Winter season. Had to trash product and get refund. All out works fine.
Jobin,5.0,Great for homes,28 December 2024,Very good output. Smell is pleasant. Works well. Recommended ⭐⭐⭐⭐⭐
Vicky,1.0,Duplicate product,22 December 2024,"Don't buy this item West of money..
Fully duplicate product...
Not working not Value.....
Just like water...
Request to ban the Seller"
Rubi,5.0,Good,19 December 2024,Good
SANJAY,5.0,GOOD KNIGHT,19 December 2024,Best
Krishnendu Manna,4.0,Good mosquito repellent,17 December 2024,Good mosquito repellent
Ashutosh T.,1.0,Doesn't work at all,12 December 2024,"I keep it on whole the night still mosquitos will roam as usual. Doesn't work even if I close the room.
It's totally useless. I don't know how so many people have rated it so high."
PRITAM MONDAL,4.0,Ok,5 December 2024,Ok
Velaravinthrajchitrarasu,3.0,Good knight,4 December 2024,Fast vapouriser
Vaghela Rajendrakumar Dilipbhai,3.0,Good,4 December 2024,Good
sanju,1.0,Duplicate product,4 December 2024,It's a duplicate or low quality product... It's not working like Original good night... Mosquito are wandering around the machine without fear... Not even one mosquitoes 🦟 dead after whole night.
Manish Rawat,1.0,Don't buy it's fake,29 November 2024,It's fake and it's hardly works so don't buy
Piyush Bansal,1.0,Fake,20 November 2024,"Fake product
Harmful fume"
Amazon Customer,2.0,Good knight works not even 15 days,19 November 2024,"I’m not sure other liquids which I have bought it from other shop itself, which usually loss for 45 days, but unfortunately this liquid is getting exhausted even within 15 days. I doubt this is a real liquid or something which has been put in and being sold as a good night refill"
c venkata ramana,5.0,Good product,12 November 2024,Working good. But not for 1month.
luncher,4.0,Good,12 November 2024,Good quality
Pt.Ashok Kumar dubey,1.0,Theek hai,12 November 2024,Theek hai
Bpf,1.0,Ok,10 November 2024,Worst product worst product worst product worst product worst product worst product worst product worst product worst product worst product
Latha,5.0,Good,9 November 2024,Good
Placeholder,5.0,VERY USEFUL,4 November 2024,VERY USEFUL
….,1.0,Bad,4 November 2024,No quality
Deep mukherjee,1.0,Worst product of the world,2 November 2024,"Very very thirdclass product,which I can't imagine.don't buy it.I want to give it minus rating."
Shaji G,1.0,Item missing,1 November 2024,"I had ordered for good knight refill pack of 6, but there was only 5 in the pack
One person found this helpful"
Placeholder,3.0,product,31 October 2024,ok quality.
Dr. Sreeju S Nair,5.0,Good,31 October 2024,Good
Chandrasekhara Raju,5.0,Okay,29 October 2024,Okay
Ujwal,5.0,Value for money,27 October 2024,Value for money
Bip,5.0,Good,24 October 2024,Price is reasonable
Parveen Dahiya,1.0,Item missing,24 October 2024,Helpful
PBHatadia,4.0,Prevent mosquito at home.,23 October 2024,"It's effective.
Customer image"
SANTHAPPAN A,4.0,Good,23 October 2024,Good
Vikram,1.0,Do not buy this product,21 June 2025,"Not happy with product quality.
Very bad smell. I am using good knight from last 10 years, but it's looks like different product.
All refills are comming out of shipping box as packing inside the company box is not done."
Mohammad Azhar,1.0,Good night refill stick is broken. Lost of one refill,10 June 2025,"Product coil broken, how to replace in refill???
Customer image
Customer image"
T. R. Sharma,1.0,Cheating.,10 June 2025,Only two refills received in the packet instead of four refills. It's a cheating.
Ganita,1.0,Less item,6 June 2025,"Recived only 5 refill bottles.
Customer image"
Akhil,1.0,Fake I think,6 June 2025,It seems like fake
Placeholder,1.0,Bad product,31 May 2025,Old used items opened and licking
Yashasvi Barfa,1.0,Defective piece received,20 May 2025,We got defective pice we order 6 piece set of goodnight refills instead received only 4 pieces 2 are missing kindly help us with this order
Weglobal,1.0,Short quantity,19 May 2025,I had ordered 8 qty of good night power active + refill pack. I received only 7
Vivek,1.0,Poor,17 May 2025,Mosquitoes keep sitting on top of this.
Deepak Kumar,1.0,Not upto the mark,3 May 2025,Not worth the money. Rather buy from a local shop after checking the authenticity of the product.
Shreekanth B K,1.0,Based on your luck if you get a original product!,28 April 2025,"I bought a pack of 6, out of which 1-2 was a good original repellent but other bottles were not up to the mark, the mosquitos started flying on top of it no power at all, only the stickers are original but the refill is not.."
Vineeta Parasramka,1.0,Need full item,26 April 2025,"The box is torn n only 3 bottles of goodnight is there
Customer image"
Tapesh Kumar,1.0,Bad Product,21 April 2025,Very bad product it's like water
Vikk,1.0,Mosquito loves this,11 April 2025,Do not buy ...this stuff is fake ... zero shame godrej and amazon seller
Jenny,1.0,Fake Products.!!,31 March 2025,Half of the Goodnight refill packs are fake. Has no odor even when used in a closed space. Fake products. CHECK the packaging after purchase.
Amazon Customer,1.0,Refund request,26 March 2025,"Product did not have all items. Request refund
Customer image"
Monu keshri,1.0,Very poor,24 March 2025,No refunds my money very bed
Sandeep,1.0,Cheating of amazon,22 March 2025,"It's not a good night liguid . There is a water fill in good night liguid bottle.
Amazon provide defective and cheat the customer.
Now I listen many of people whom amazon cheated"
just kidding,1.0,Fraud,4 February 2025,Only two refill pack instead of four
soham dutta,1.0,Counterfeit product.,10 January 2025,The volatility is absurdly high and the smell is also different. One cartridge gets over within a week for an average use of 5-6 hours in a day.
Amarjeet Singh,1.0,Out of 6 only 5 item received,8 January 2025,"Click to play video
One item miss
3 people found this helpful"
Padmalava S.,1.0,Bad in quality not working good,5 January 2025,Not working in Lucknow 2024 Winter season. Had to trash product and get refund. All out works fine.
Vicky,1.0,Duplicate product,22 December 2024,"Don't buy this item West of money..
Fully duplicate product...
Not working not Value.....
Just like water...
Request to ban the Seller"
Ashutosh T.,1.0,Doesn't work at all,12 December 2024,"I keep it on whole the night still mosquitos will roam as usual. Doesn't work even if I close the room.
It's totally useless. I don't know how so many people have rated it so high."
sanju,1.0,Duplicate product,4 December 2024,It's a duplicate or low quality product... It's not working like Original good night... Mosquito are wandering around the machine without fear... Not even one mosquitoes 🦟 dead after whole night.
Manish Rawat,1.0,Don't buy it's fake,29 November 2024,It's fake and it's hardly works so don't buy
Piyush Bansal,1.0,Fake,20 November 2024,"Fake product
Harmful fume"
Md Fayaz MD,1.0,This is a bad quality liquid,17 November 2024,"I’m not sure other liquids which I have bought it from other shop itself, which usually loss for 45 days, but unfortunately this liquid is getting exhausted even within 15 days. I doubt this is a real liquid or something which has been put in and being sold as a good night refill"
Pt.Ashok Kumar dubey,1.0,Theek hai,12 November 2024,Theek hai
Bpf,1.0,Ok,10 November 2024,Worst product worst product worst product worst product worst product worst product worst product worst product worst product worst product
….,1.0,Bad,4 November 2024,No quality
Deep mukherjee,1.0,Worst product of the world,2 November 2024,"Very very thirdclass product,which I can't imagine.don't buy it.I want to give it minus rating."
Shaji G,1.0,Item missing,1 November 2024,"I had ordered for good knight refill pack of 6, but there was only 5 in the pack
One person found this helpful"
Parveen Dahiya,1.0,Item missing,24 October 2024,Click to play video
Rashmi,1.0,Not worth buying!,18 October 2024,"Not worth buying from here, highly dissatisfied overall."
Amazon Customer,1.0,Packet came slight opened condition and the contents were scattered inside the package,10 October 2024,Helpful
Neetu Lohiya,1.0,received less quantity,10 October 2024,"I have ordered 6 pcs pack but got only 5 pcs instead of 6.
Customer image"
Santosh Tiwari,1.0,60 Nights,10 October 2024,Works only 20 nights instead of 60 Nights ...All untrue.. Don't trust
Ashish chand,1.0,Damanged,15 September 2024,Product seal was already opened
RAVINDER SINGH,1.0,WORST THING,1 September 2024,WORST THING
Anirudh,1.0,Duplicate Product,18 July 2024,"This smells like somke come out from burning Kerosine, duplicate product"
Ibrahim Pathan,1.0,One Item missing,5 July 2024,Outof six I received only five bottles of good knight liquid refill.
Amazon Customer,1.0,Short delivery,23 June 2024,There were only 3 refills in the pack instead of 4
Raj Sharma,1.0,Doesn’t work,22 June 2024,Doesn’t kill or repel mosquitoes
Ratan Lal Roy,1.0,"Items missing, received 5 of 6",2 June 2024,"Click to play video
Box was not sealed when package was opened. Received 5 items instead of 6.
Customer image
Customer image"
RAVINDRAPRASAD PELLURU,1.0,Not working,31 May 2024,"Mosquitos are not repelled from the room. It worked like a water
One person found this helpful"
Ram Malakar,1.0,It is worst,17 May 2024,Zero effectiveness. Mosquitoes fly on top of it without any effect.
Dhaval,1.0,Fake Product,2 May 2024,"Don't buy from here. Buy from your local store instead. This is a fake or a diluted product. Store-bought refill lasts for at least two weeks even after keeping it on all night. This one barely lasts for a week even after 2-3 hours of usage.
One person found this helpful"
Damaged product,1.0,Damaged,22 April 2024,"Click to play video
Mosquito repellent
Customer image
Customer image"
Avinash,1.0,Expire item recived,12 April 2024,"Pls help me call me
Customer image"
Souvik Mahapatra,1.0,2 bottles missing from Goodnight packet,4 April 2024,"Very upset. Very disgusting.After opened Good night refill packet, I can see 4 bottles instead of 6. First time facing this problem."
mohd tasneef,1.0,fake products...buy it from a local market,15 March 2024,"do not go cheapness. i bought it two times. second tym i bought it last year it was a total fake product. even mosquitoes 🦟 is seen every where while keep it on 16 hours continuously. i have still left some refills.
One person found this helpful"
MURUGESAN,1.0,Dublicate,14 March 2024,Useless
Debkumar Mahato,1.0,Worst product,23 February 2024,"Black part was broken and inside the bottle. Damaged item received.
Customer image
Customer image
One person found this helpful"
Akhil,1.0,Very bad product Mosquito sits on top of the machine,23 February 2024,"Doesn't really work very bad formula. Mosquitoes sits on top of the machine that how ineffective it is. I would have given 0 stars.

These refills are so expensive yet they don't work.
One person found this helpful"
Narayanan,1.0,Not working,21 February 2024,"It's not working as expected, mosquitos are flying near to this machine."
Lilly Joseph,1.0,Defective...old i suppose black rod broke and not able to use,19 February 2024,Waste of money ..Defective ...old i suppose ....black rod broke and not able to use
theGreenDragon,1.0,Extremely STRONG smell.,20 January 2024,"If you accidentally leave it on for the entire night, the next day you'll feel the smell for the whole day. And I personally feel pretty sick for half of the day 🤕.
I hope it does not have side effects on us."
Anabiya ali,1.0,Mt lo plz koe,18 January 2024,Fltu ekdm fltu gira hua mila h oil pura gira hua tha
Sanjeev,1.0,Not good,9 January 2024,Seems.only water in inside the pots
SUBHASISH DASGUPTA,1.0,Less item delivered,10 December 2023,Ordered pack of 6 and sent only 4
Nisha Singhal,1.0,Supplied 4 bottles container in place of 6 bottles.,8 December 2023,"Mosquito repellent
Customer image"
Bidyut Ghosh.,1.0,Instead of 6 no. Refill packs only 4 were in the box.,21 November 2023,It's like being cheated.
Dr LUK SIN CHEN,1.0,Why only 2 instead of 6 good knight refills,18 November 2023,"This I think was tampered and 4 refills STOLEN. Kindly HELP. I'm a regular customer. I should get a whole pack with 6 refills of good knight as soon as possible 🙏
Customer image"
Kamal kumar Saikia,1.0,Duplicate product,1 November 2023,No effect on mosquitos...filled with water (may be).
Rabi b.,1.0,Liquid is not good,29 October 2023,"Disliked it. Appears to be filled with some not working liquids. Exactly you wrote my words only. Discard the seller immediately.
One person found this helpful"
Vibhor s.,1.0,Missing item in order delivered,27 October 2023,Incomplete order was delivered....good night refill packs not received...
Udayan C.,1.0,Reason for returning the consignment,25 September 2023,"The box came in damaged condition, so refused to accept and returned"
Aniruddha Das,1.0,Very Very Bad Night,16 September 2023,I think this liquid is invited mosquitos 😞😤🤬
Placeholder,1.0,Waste of money,15 September 2023,Duplicate product
TwoWheels4Ever,1.0,The company is getting greedy,31 August 2023,"These refills used to last a month and a half. Now they barely last 12-15 days with 7 hours of use at night. Very unhappy with this company approach of profits. And the price hikes are ridiculous as well. Unfortunately, it’s the only way to not be eaten alive by mosquitoes in Mumbai"
vinay,1.0,Size is different and not fix in machine,21 August 2023,Size is different and not fix in machine
Rashmi Ranjan behera,1.0,Mene 4 Refil order Kia tha Lekin Pack me 2 product delivered Hua he,31 July 2023,Click to play video
Sumeeta badlani,1.0,Damage pack 1 bottle is missing.,29 June 2023,"I got only one bottle . Pack carton is opened only one bottle is their.
.
Customer image
Customer image
One person found this helpful"
Arpana R.,1.0,Not satisfied,26 June 2023,Very unsatisfied with the product i received... Did not work... Water inside.
Swumi,1.0,Not strong,31 May 2023,Not effective.. So disappointed.
Vinod kumar ram,1.0,Not fitting gold flash,24 May 2023,Bad
kamal datta,1.0,Missing 1 piece,11 May 2023,Two ordered but open the boxes ( one ) very unhappy and disappointed.
Placeholder,1.0,Short supply,1 May 2023,"There are only five bottles where as I ordered six.
Customer image"
Reena,1.0,Not effective...,25 April 2023,I dont think it works...still mosquitoes in the room and saw one on the wall just next to it!! Have been using since a month but it's totally ineffective
Sachin p.,1.0,लो quality,22 April 2023,"मच्छर मरते ही नहीं duplicate था या fir लो quality... मार्केट मे मिलने वाला product और amazon से मिलनेवाला प्रॉडक्ट इसमे जमीन असमान का अंतर है... हमने बंद kr दिया है amazon से कुछ भि मंगवाना..
One person found this helpful"
Rituparna singh,1.0,Ok,22 April 2023,Use krne ke baad PTA chalega
Order 2 in no. but received only one,1.0,Worst packing and missing item,12 April 2023,"Click to play video
Extreme worst packing and product is also missing and defective"
Subhash k.,1.0,Very very bad,12 April 2023,Very bad product
Patrachouhan,1.0,Don't buy,6 April 2023,It's for old model stand.
Gagan,1.0,Very very poor quality,3 April 2023,"Poor
Customer image"
Anto,1.0,Not working,27 March 2023,Better to purchase these items from locals shops.
HARVINDER SINGH,1.0,I got only 4 refill pack,14 March 2023,"I got only 4 pcs in box instead of 6 pcs.
Customer image"
shafihussaini,1.0,Waste of money,9 March 2023,"Very bad smell,
It’s make you vomite"
S8d,1.0,Worst quality,9 March 2023,"Very poor quality
Is it liquid or water"
Farzana n.,1.0,I speechless,4 March 2023,I recieved liquid of good night ya water
Ravi Ranjan,1.0,Received packet contained lesser no. of items,28 February 2023,I ordered pack of six refils of Good Knight power active plus. When I received the consignment and opened it I found only five refils.
Harish s wadwa,1.0,The products are damaged don't buy this item online,27 February 2023,Click to play video
Amazon Customer,1.0,Feck,19 February 2023,Bekar😡😡😡🤬
Fahim hashmi,1.0,Worst of Money. Please don't buy,11 February 2023,"Dear seller, please sell the original product.
It's my first review for any product.
Worst item I've ever bought from Amazon."
Tanmay,1.0,Item received with one missing cartridge,2 February 2023,Customer image
SR,1.0,Damaged bottles received,8 January 2023,Three bottles were having broken candles. Outer packing was also horrible. Didn't expect this...
Placeholder,2.0,Pests,3 May 2025,"Not effective, not worth the money"
Rahul Som Chaudhury,2.0,Not effective,6 April 2025,Not so effective
Jyotirmay Padhi,2.0,The supplier is not trust worthy.,17 February 2025,"Some of bottle of good night contains extremely bad quality liquid. Not at all effective.
One person found this helpful"
Amazon Customer,2.0,Good knight works not even 15 days,19 November 2024,Bahot hi kharab
NPR,2.0,Only 70% Mosquitoes OUT,3 July 2024,"Only 70% Mosquitoes OUT, Balance Still flying around, Sometimes even Close to the Machine. Not 100% effective, as it was in the Past. .??"
RTL,2.0,Disappointed with the Product Mismatch,29 March 2024,"I recently purchased the Good Night Refill (60 Nights Jumbo Refill) pack of 4 from Amazon, and unfortunately, I am disappointed with the product I received. The item did not match the description provided, as I received a regular Good Night Refill instead of the 60-night Jumbo refill version I had ordered.

Firstly, the reason I opted for the 60-night refill was because of its longevity, ensuring uninterrupted peaceful nights for an extended period. However, to my dismay, the refill I received only lasted for a customary duration, just like any regular refill. This discrepancy is a letdown, as specifically stated in the description should have been honored.

Moreover, the misrepresentation of the product has caused inconveniences and disappointment.
Although the regular Good Night Refill performs adequately, it falls short in meeting my expectations set by the description and my initial purchase decision. The miscommunication has caused me unnecessary inconvenience, which truly undermines the shopping experience I had anticipated.

Despite this setback, I would like to acknowledge the prompt delivery and general quality of the product, and the packaging was intact upon arrival. However, this still does not compensate for the inaccurate product information and inconveniences faced.

In light of the above, I urge your team to update the product description and ensure accuracy in the future. As a customer, it is disheartening to receive a product that does not match the described features, leading to frustration and regret.

I sincerely hope that this issue is remedied promptly and that other customers do not encounter similar problems.
Customer image
One person found this helpful"
Jacqueline J.,2.0,Not effective,22 January 2024,"It has very faint smell of the mosquitoe repellant. It was not very effective unlike the store brought ones. Even after using it there were lot of mosquitoes around, it was not all effective.
One person found this helpful"
kiran kumar egala,2.0,not so good,17 December 2023,"not very impact on mosqutos
One person found this helpful"
Jathin,2.0,Very good.charging units no standard,10 August 2023,We have to buy charging unit every time the liquid is good but it will not fit into machine well
ASIS KUMAR BAGCHI,2.0,Loss items,16 April 2023,"Out of 2 nos 1 no is not usable due to broken spindle inside the oil container !! I found it today just now while connecting the machine!!
Now the window is also closed on 7th of March!!
So, it is my loss of money!!"
jo,2.0,Not as good as before,8 April 2023,Mosquitoes sits on machine while power on
Subhrajit,2.0,Bad product..,28 March 2023,"There is no effect using this product..
One person found this helpful"
Saurabh keshri,2.0,No affect on mosquito.,26 October 2022,"No affect on mosquito
One person found this helpful"
Pramod Kevat,2.0,Duplicate Product,18 October 2022,"100% Duplicate Product
No स्मेल
मच्छरों को कोई असर ही नहीं होता है
वेस्टेज मनी
दिन से रात तक यह पावर मोड में रहता है लेकिन कमरे में मच्छर होते हैं। तरल की बहुत कम गुणवत्ता, संभावना पानी जोड़ा गया क्योंकि इसे खोलना और फिर से भरना आसान है, इस विक्रेता से नहीं खरीदें, एक और सेल की कोशिश करें।
2 people found this helpful"
Anilkumar chhabilal Katre,2.0,"Froud, dispatched only five refill instead of 6",4 October 2022,"As per 6 refill ina pack but recieve
d only 5 nos."
JUHI BOSE,2.0,Not effective,27 September 2022,Mosquitoes continues to disturb
Jithu,2.0,Just ok,26 September 2022,Average
mallikarjunarao,2.0,"Brand ok, but no quality.",24 September 2022,Really it's not working perfect.
A mukti,2.0,Defective peice,7 June 2022,One out of two item was defected. I opened the packet so didn't return it. I used other one though.
montu mallick,2.0,"never buy ,worst product",7 June 2022,worst
Rezoyana Parvin,2.0,Not good to use,4 June 2022,It's not set on old mechine..not fully satisfied
Vivek,2.0,Only work with activ machine,21 May 2022,Doesnt work with express machine
Faizan Shahid,2.0,Average,11 April 2022,Average work
Ashwani S.,2.0,Waste of money,5 April 2022,Not working
Monodip Das,2.0,Nice,21 January 2022,Nice
RV,2.0,No scent or No smell,6 January 2022,"No smell or no scent, seems duplicate product."
Placeholder,2.0,I Don't think it's an original product!,9 December 2021,"When I got the product I was really happy. But after using it my whole expectation just got ruined. No smell as we usually get from original Good Knight refill, no effect on mosquitoes. I think it's a duplicate product and the container is filled with half water and Good Knight liquid. I would not recommend buying that product from this seller. Visit your nearest shop and buy from them."
Shubhangi pawar,2.0,Good knight,28 November 2021,Received with one empty refill pack. Disappointed.
B.Kiran kumar,2.0,Waste,1 November 2021,Waste
Jay,2.0,doesn't work,7 October 2021,"whtever u buy, wichever u buy, none of them work on these mosquitoes. its like they have the immunity against these repellents. guess they have taken vaccination to protect themselves against these repellents..gosh..useless. dont even think of using incense sticks or any burners, they wud b more harmful for humans as inhaling that will not do any harm to the mosquitoes but for humans it definitely will. best option is to use the mosquito bat and make sure to close the windows as soon as the sun sets."
Nayap,2.0,This combo pack is apparently low quality than single piece ones,6 October 2021,"As soon as I received the product I've compared it with the one which is already in use, I see the shape of the refill is different but fits well into the machine. However while removing from the machine I've observed that liquid is spilling from the refill, immediately I've checked other refills in the box and all are same. The nozzle isn't properly sealed for these. But well done for single packs.

Will update the review after using one of these.
One person found this helpful"
Denashkumar,2.0,Doesn’t smell like original or single pack,9 September 2021,"Buy single pack it seems to be original odour, combo pack is not that much effective"
Hendo k.,2.0,Mosquitoes firendly,21 August 2021,Mosquitoes flies around the repellent
Varun Santhosh,2.0,The item is getting leaked it's getting over very fast,17 August 2021,The item is getting leaked it's getting over very fast
Priya,2.0,Still mosquitoes are not going out.,17 August 2021,"Eh
One person found this helpful"
Amz Customer,2.0,not value for money,13 August 2021,price not competitive
chithra,2.0,Fake products,11 August 2021,Fake one
Dhiraj Rai,2.0,Dont buy,1 August 2021,"It has leakage when u plug in . 1st I thought that may be the leackage would be with one but all have leakage may be thats why they are giving in discount. Never buy in lot from here, giving rejected product. Better go to medical store and buy on MRP atleast u will get good product.
One person found this helpful"
Anand Iyer,2.0,Ineffective,1 August 2021,Somehow not found to be very effective on the small insects which you see around at homes in Bengaluru
Jai,2.0,வேற வாங்குவது நல்லது,31 July 2021,"கொசு மிஷின் மேலே பறக்குது
One person found this helpful"
M. Saravanan,2.0,Not impressive,19 July 2021,Ok
Sayantan,2.0,"Once a great product, has simply become bad over time",10 July 2021,"The product, apparently for 45 days each, doesn't last even 7 days on active mode.
And in the normal mode, it dpesnt work at all. Mosquitoes are rampant in normal mode and slightly less in active mode.
The product is not effective properly, but at least it os better than the gold flash ones which have flooded the market and are absolutely worthless.
2 people found this helpful"
Kiran Soni,2.0,Product is Good But 3rd Class Delivery,10 June 2021,Customer image
Amazon Customer,2.0,Not effective,6 June 2021,Not as effective as allout.
Viswanath,2.0,Money waste,30 May 2021,No usewaste
Durgesh Chaudhari,2.0,Damaged item received,28 May 2021,The Item was damaged from inside...
Shahzad,2.0,Item missed,28 May 2021,Delivered on time but missed an item as I got 5 units instead of 6 in the box
Meenakshi Dubey,2.0,Bad,26 May 2021,"Duplicate product no smell no effect on mosquito
One person found this helpful"
Tnath,2.0,Not value for money,24 May 2021,Fake liquid not working properly
Ishita,2.0,No Quality Check,23 May 2021,The contents of the package were broken and leaking. 2 of the cartridges were broken
dilip kumar,2.0,Good product,22 May 2021,Good
Tarak Nath Chowdhury,2.0,Fake,22 May 2021,Fake
Saroj kumar,2.0,काम नही करताहौ,14 May 2021,नाम बड़े दर्शन छोटे।
Amazon Customer,2.0,Fake Product,27 April 2021,Seems a fake product. Water filled in with some fragrance. Not at all effective.
Chandan Raj,2.0,Duplicate Products,27 April 2021,Duplicate Products
Nisha Rattan,2.0,No effect on mosquitoes,25 April 2021,No effect on mosquitoes
Amazon Customer,2.0,Fake,24 April 2021,"I think its the fake product, mosquitoes will not go away.
One person found this helpful"
