Reviewer,Rating,Title,Date,Body,review_key_aspects,aspect_sentiments,adjective_review,ner_review,emotions_review,empathy_review,predicted_sentiment,actual_sentiment,computed_sentiment_score,computed_sentiment
Vivek Soni,4.0,Quality,2025-05-27,value for money ,value money,"{'value': 'positive', 'money': 'positive'}",,,"[('neutral', 0.5654856562614441), ('caring', 0.20366385579109192), ('approval', 0.11845652759075165)]","[[{'label': 'fear', 'score': 0.3201456665992737}, {'label': 'anger', 'score': 0.3163062334060669}, {'label': 'neutral', 'score': 0.20700471103191376}, {'label': 'disgust', 'score': 0.09164171665906906}, {'label': 'sadness', 'score': 0.032797567546367645}, {'label': 'joy', 'score': 0.017619607970118523}, {'label': 'surprise', 'score': 0.01448449119925499}]]",positive,positive,0.34,positive
Karanpreet kaur,3.0,🤩,2025-05-24,the product has good but i got 2 days late it just happened because of delivery partner because he kept my product and 2 days he was on leave so i had to wait for 2 days to received my product customer image customer image customer image,product delivery partner product day day product customer image customer image customer image,"{'product': 'neutral', 'days': 'neutral', 'delivery': 'negative', 'partner': 'negative', 'leave': 'negative', 'customer': 'neutral', 'image': 'neutral'}",good,"('2 days', 'DATE')","[('neutral', 0.5977525115013123), ('approval', 0.0686197280883789), ('realization', 0.04706817865371704)]","[[{'label': 'sadness', 'score': 0.6784492135047913}, {'label': 'neutral', 'score': 0.14153645932674408}, {'label': 'surprise', 'score': 0.12722250819206238}, {'label': 'anger', 'score': 0.026637956500053406}, {'label': 'joy', 'score': 0.015401083044707775}, {'label': 'disgust', 'score': 0.006808343809098005}, {'label': 'fear', 'score': 0.003944469150155783}]]",positive,neutral,0.1655,positive
Sudarshan Thakare,4.0,Okay,2025-05-21,oaky,oaky,{},,,"[('neutral', 0.7166630029678345), ('annoyance', 0.05696221813559532), ('anger', 0.03837229683995247)]","[[{'label': 'neutral', 'score': 0.5617448091506958}, {'label': 'surprise', 'score': 0.2871125042438507}, {'label': 'sadness', 'score': 0.06569556891918182}, {'label': 'fear', 'score': 0.040767770260572433}, {'label': 'joy', 'score': 0.0225661788135767}, {'label': 'disgust', 'score': 0.012467273510992527}, {'label': 'anger', 'score': 0.00964600220322609}]]",neutral,positive,0.0,neutral
suhaibvp,5.0,Good product,2025-05-21,all people know about good night product so no need my review,people good night product review,"{'people': 'neutral', 'night': 'neutral', 'product': 'neutral', 'review': 'neutral'}",good,,"[('neutral', 0.3334065079689026), ('approval', 0.2147059291601181), ('admiration', 0.13042640686035156)]","[[{'label': 'neutral', 'score': 0.818017303943634}, {'label': 'joy', 'score': 0.10670994967222214}, {'label': 'surprise', 'score': 0.034007053822278976}, {'label': 'sadness', 'score': 0.0311014074832201}, {'label': 'anger', 'score': 0.004638844635337591}, {'label': 'disgust', 'score': 0.003198987105861306}, {'label': 'fear', 'score': 0.002326360670849681}]]",neutral,positive,0.0087,neutral
Chiranjit Moirangthem,5.0,Working.,2025-05-20,i was sceptical at first because of some reviews but i bought it anyway since it had lots of buyer the moment i opened it the first bottle had quite a darkish liquid compare to the one i bought offlinei thought of returning it but then decided to just try it so after more than a week of using two of itthe darkish one tooi would say its working out fineand i tell you i am from manipur and mosquitos and all kinds insects are famous over hereif i gave a 5 star review that means its working fine but then i havnt use all of it still 10 leftif i find any of the product not working or looks fake i will update it here,review lot buyer bottle darkish liquid compare offlinei week itthe darkish tooi manipur mosquito kind insect hereif star review work fine product,"{'reviews': 'negative', 'lots': 'negative', 'buyer': 'negative', 'moment': 'negative', 'bottle': 'negative', 'liquid': 'negative', 'compare': 'negative', 'one': 'negative', 'offlinei': 'negative', 'week': 'negative', 'tooi': 'negative', 'mosquitos': 'positive', 'kinds': 'positive', 'insects': 'positive', 'star': 'positive', 'review': 'positive', 'fine': 'positive', 'leftif': 'negative', 'product': 'negative'}",sceptical first darkish more famous fake,"('first', 'ORDINAL')","[('neutral', 0.5427756905555725), ('approval', 0.08977595716714859), ('annoyance', 0.08713089674711227)]","[[{'label': 'surprise', 'score': 0.38596564531326294}, {'label': 'fear', 'score': 0.21397344768047333}, {'label': 'sadness', 'score': 0.1475968211889267}, {'label': 'anger', 'score': 0.11434479057788849}, {'label': 'neutral', 'score': 0.08658404648303986}, {'label': 'joy', 'score': 0.05046321824193001}, {'label': 'disgust', 'score': 0.0010720075806602836}]]",negative,positive,-0.5499,negative
Yashasvi Barfa,1.0,Defective piece received,2025-05-20,we got defective pice we order 6 piece set of goodnight refills instead received only 4 pieces 2 are missing kindly help us with this order,defective pice piece goodnight refill piece order,"{'pice': 'positive', 'piece': 'positive', 'goodnight': 'positive', 'refills': 'positive', 'pieces': 'positive', 'order': 'positive'}",defective,"('6', 'CARDINAL')","[('neutral', 0.5468857884407043), ('optimism', 0.08201389014720917), ('approval', 0.07369200885295868)]","[[{'label': 'neutral', 'score': 0.6233084797859192}, {'label': 'surprise', 'score': 0.17444127798080444}, {'label': 'sadness', 'score': 0.15750326216220856}, {'label': 'joy', 'score': 0.031251296401023865}, {'label': 'anger', 'score': 0.00829361379146576}, {'label': 'fear', 'score': 0.002926203655079007}, {'label': 'disgust', 'score': 0.0022758301347494125}]]",positive,negative,0.2023,positive
Weglobal,1.0,Short quantity,2025-05-19,i had ordered 8 qty of good night power active  refill pack i received only 7,qty good night power active refill pack,"{'qty': 'positive', 'night': 'positive', 'power': 'positive', 'refill': 'positive', 'pack': 'positive'}",good active,"('8', 'CARDINAL')","[('neutral', 0.38454669713974), ('admiration', 0.2715367376804352), ('approval', 0.13306942582130432)]","[[{'label': 'sadness', 'score': 0.8973516225814819}, {'label': 'surprise', 'score': 0.05559256672859192}, {'label': 'anger', 'score': 0.01857975870370865}, {'label': 'neutral', 'score': 0.014801840297877789}, {'label': 'joy', 'score': 0.01088772900402546}, {'label': 'fear', 'score': 0.0018885047174990177}, {'label': 'disgust', 'score': 0.0008979597478173673}]]",positive,negative,0.6808,positive
Vivek,1.0,Poor,2025-05-17,mosquitoes keep sitting on top of this,mosquito,"{'mosquitoes': 'positive', 'top': 'positive'}",,,"[('neutral', 0.8102300763130188), ('approval', 0.042914923280477524), ('admiration', 0.03003227710723877)]","[[{'label': 'neutral', 'score': 0.9411628246307373}, {'label': 'surprise', 'score': 0.029153568670153618}, {'label': 'sadness', 'score': 0.010952286422252655}, {'label': 'anger', 'score': 0.007691313978284597}, {'label': 'joy', 'score': 0.006981253158301115}, {'label': 'disgust', 'score': 0.002660479163751006}, {'label': 'fear', 'score': 0.0013983520912006497}]]",positive,negative,0.2023,positive
Vasant gandhi,5.0,Good,2025-05-14,good,,{},good,,"[('admiration', 0.5878942608833313), ('neutral', 0.12407136708498001), ('approval', 0.08707352727651596)]","[[{'label': 'neutral', 'score': 0.6325144171714783}, {'label': 'joy', 'score': 0.18647123873233795}, {'label': 'disgust', 'score': 0.10550987720489502}, {'label': 'sadness', 'score': 0.03491360694169998}, {'label': 'anger', 'score': 0.02631918340921402}, {'label': 'surprise', 'score': 0.009417631663382053}, {'label': 'fear', 'score': 0.0048540192656219006}]]",positive,positive,0.4404,positive
mehmood hussain Khan,5.0,Excellent,2025-05-10,excellent,,{},excellent,,"[('admiration', 0.777554452419281), ('gratitude', 0.06314689666032791), ('neutral', 0.056344762444496155)]","[[{'label': 'joy', 'score': 0.8195317387580872}, {'label': 'neutral', 'score': 0.14971467852592468}, {'label': 'disgust', 'score': 0.009738321416079998}, {'label': 'surprise', 'score': 0.0069183604791760445}, {'label': 'anger', 'score': 0.0067194742150604725}, {'label': 'sadness', 'score': 0.00591770326718688}, {'label': 'fear', 'score': 0.0014596994733437896}]]",positive,positive,0.5719,positive
Syed Basheer,4.0,Ok,2025-05-10,ok,,{},,,"[('neutral', 0.6164146065711975), ('approval', 0.18991433084011078), ('caring', 0.04196959733963013)]","[[{'label': 'neutral', 'score': 0.8115996718406677}, {'label': 'surprise', 'score': 0.05355851352214813}, {'label': 'sadness', 'score': 0.04313215613365173}, {'label': 'fear', 'score': 0.03343234956264496}, {'label': 'disgust', 'score': 0.02910882607102394}, {'label': 'anger', 'score': 0.023284118622541428}, {'label': 'joy', 'score': 0.005884390790015459}]]",positive,positive,0.296,positive
Gajendra Kumar,4.0,Two refill less,2025-05-06,i ordered 6six no good night refill pack but when i open the box found only 4four no of refill in it so please send 2two refill  customer image one person found this helpful,box refill refill customer image person,"{'night': 'positive', 'refill': 'positive', 'box': 'positive', 'customer': 'positive', 'image': 'positive', 'person': 'positive'}",good helpful,"('only 4four', 'CARDINAL')","[('neutral', 0.46471503376960754), ('admiration', 0.10292821377515793), ('approval', 0.07678499817848206)]","[[{'label': 'sadness', 'score': 0.4244643747806549}, {'label': 'surprise', 'score': 0.35813894867897034}, {'label': 'neutral', 'score': 0.18183352053165436}, {'label': 'joy', 'score': 0.02524777315557003}, {'label': 'anger', 'score': 0.005457863211631775}, {'label': 'fear', 'score': 0.0033124727196991444}, {'label': 'disgust', 'score': 0.0015451260842382908}]]",positive,positive,0.7853,positive
Placeholder,2.0,Pests,2025-05-03,not effective not worth the money,,{'money': 'negative'},effective worth,,"[('neutral', 0.41725295782089233), ('disapproval', 0.36766719818115234), ('approval', 0.055071376264095306)]","[[{'label': 'sadness', 'score': 0.8842713236808777}, {'label': 'neutral', 'score': 0.055912040174007416}, {'label': 'anger', 'score': 0.02885720320045948}, {'label': 'surprise', 'score': 0.013354937545955181}, {'label': 'disgust', 'score': 0.00935919489711523}, {'label': 'joy', 'score': 0.006002421490848064}, {'label': 'fear', 'score': 0.0022429251112043858}]]",negative,negative,-0.2643,negative
Deepak Kumar,1.0,Not upto the mark,2025-05-03,not worth the money rather buy from a local shop after checking the authenticity of the product,money local shop authenticity product,"{'money': 'negative', 'shop': 'negative', 'authenticity': 'negative', 'product': 'negative'}",worth local,,"[('neutral', 0.6911064386367798), ('disapproval', 0.07469165325164795), ('approval', 0.06282797455787659)]","[[{'label': 'sadness', 'score': 0.40727055072784424}, {'label': 'neutral', 'score': 0.354900062084198}, {'label': 'surprise', 'score': 0.09069091081619263}, {'label': 'anger', 'score': 0.07584201544523239}, {'label': 'disgust', 'score': 0.04501260817050934}, {'label': 'joy', 'score': 0.02324332855641842}, {'label': 'fear', 'score': 0.00304042617790401}]]",negative,negative,-0.1695,negative
Chris Jayadurai,5.0,Fast delivery,2025-04-29,good customer image,good customer image,"{'customer': 'positive', 'image': 'positive'}",good,,"[('admiration', 0.4481600522994995), ('neutral', 0.1553417444229126), ('approval', 0.11597660183906555)]","[[{'label': 'neutral', 'score': 0.9112259745597839}, {'label': 'joy', 'score': 0.0409783199429512}, {'label': 'disgust', 'score': 0.02211114391684532}, {'label': 'sadness', 'score': 0.008250556886196136}, {'label': 'anger', 'score': 0.008246277458965778}, {'label': 'surprise', 'score': 0.006600474007427692}, {'label': 'fear', 'score': 0.002587293041869998}]]",positive,positive,0.4404,positive
Shreekanth B K,1.0,Based on your luck if you get a original product!,2025-04-28,i bought a pack of 6 out of which 12 was a good original repellent but other bottles were not up to the mark the mosquitos started flying on top of it no power at all only the stickers are original but the refill is not,pack good original repellent bottle mark mosquito power sticker refill,"{'pack': 'positive', 'repellent': 'positive', 'bottles': 'positive', 'mark': 'positive', 'mosquitos': 'positive', 'top': 'positive', 'power': 'positive', 'stickers': 'positive', 'refill': 'positive'}",good original other original,"('6', 'CARDINAL')","[('neutral', 0.5304800868034363), ('disapproval', 0.10202067345380783), ('admiration', 0.08692394196987152)]","[[{'label': 'surprise', 'score': 0.45769548416137695}, {'label': 'sadness', 'score': 0.3094578981399536}, {'label': 'neutral', 'score': 0.17666156589984894}, {'label': 'anger', 'score': 0.027871672064065933}, {'label': 'joy', 'score': 0.018862519413232803}, {'label': 'disgust', 'score': 0.005246653221547604}, {'label': 'fear', 'score': 0.00420423736795783}]]",positive,negative,0.6059,positive
Vineeta Parasramka,1.0,Need full item,2025-04-26,the box is torn n only 3 bottles of goodnight is there customer image,box bottle goodnight customer image,"{'box': 'negative', 'bottles': 'negative', 'goodnight': 'negative', 'customer': 'negative', 'image': 'negative'}",,"('only 3', 'CARDINAL')","[('neutral', 0.462851881980896), ('disappointment', 0.1244499534368515), ('sadness', 0.10298742353916168)]","[[{'label': 'surprise', 'score': 0.5227327942848206}, {'label': 'sadness', 'score': 0.30515289306640625}, {'label': 'neutral', 'score': 0.13560310006141663}, {'label': 'anger', 'score': 0.020301543176174164}, {'label': 'joy', 'score': 0.007719575427472591}, {'label': 'disgust', 'score': 0.004399043507874012}, {'label': 'fear', 'score': 0.004091028589755297}]]",negative,negative,-0.25,negative
Tapesh Kumar,1.0,Bad Product,2025-04-21,very bad product its like water,bad product like water,"{'product': 'negative', 'water': 'negative'}",bad like,,"[('disapproval', 0.19954444468021393), ('neutral', 0.1921730786561966), ('disappointment', 0.1709306836128235)]","[[{'label': 'disgust', 'score': 0.5713585019111633}, {'label': 'sadness', 'score': 0.32041269540786743}, {'label': 'anger', 'score': 0.0706956684589386}, {'label': 'neutral', 'score': 0.013719580136239529}, {'label': 'fear', 'score': 0.009631413966417313}, {'label': 'surprise', 'score': 0.009096425957977772}, {'label': 'joy', 'score': 0.005085747689008713}]]",negative,negative,-0.3167,negative
Awadhoot,5.0,useful,2025-04-19,useful,,{},useful,,"[('neutral', 0.727652907371521), ('approval', 0.04245838522911072), ('curiosity', 0.019518887624144554)]","[[{'label': 'neutral', 'score': 0.5086475610733032}, {'label': 'joy', 'score': 0.18474973738193512}, {'label': 'sadness', 'score': 0.1066524088382721}, {'label': 'anger', 'score': 0.07999663054943085}, {'label': 'disgust', 'score': 0.07685700058937073}, {'label': 'surprise', 'score': 0.036282978951931}, {'label': 'fear', 'score': 0.006813707295805216}]]",positive,positive,0.4404,positive
Dr. M Y Achhava,4.0,Quality,2025-04-14,good,,{},good,,"[('admiration', 0.5878942608833313), ('neutral', 0.12407136708498001), ('approval', 0.08707352727651596)]","[[{'label': 'neutral', 'score': 0.6325144171714783}, {'label': 'joy', 'score': 0.18647123873233795}, {'label': 'disgust', 'score': 0.10550987720489502}, {'label': 'sadness', 'score': 0.03491360694169998}, {'label': 'anger', 'score': 0.02631918340921402}, {'label': 'surprise', 'score': 0.009417631663382053}, {'label': 'fear', 'score': 0.0048540192656219006}]]",positive,positive,0.4404,positive
Tausif khan,4.0,Effective,2025-04-13,received old packaging which is going to expire in oct this year,old packaging oct,"{'packaging': 'neutral', 'year': 'neutral'}",old,"('oct this year', 'DATE')","[('neutral', 0.2702619731426239), ('disappointment', 0.1585717648267746), ('sadness', 0.11214343458414078)]","[[{'label': 'sadness', 'score': 0.7488937377929688}, {'label': 'neutral', 'score': 0.12252118438482285}, {'label': 'surprise', 'score': 0.05306389182806015}, {'label': 'anger', 'score': 0.04852679744362831}, {'label': 'disgust', 'score': 0.015305274166166782}, {'label': 'fear', 'score': 0.0060168844647705555}, {'label': 'joy', 'score': 0.00567228440195322}]]",neutral,positive,0.0,neutral
saurabh yadav,5.0,Guinune item,2025-04-12,genuine products you must go for purchase without any hesitation,genuine product purchase hesitation,"{'products': 'positive', 'purchase': 'positive', 'hesitation': 'positive'}",genuine,,"[('neutral', 0.8095128536224365), ('approval', 0.041682109236717224), ('realization', 0.026504453271627426)]","[[{'label': 'fear', 'score': 0.9615631699562073}, {'label': 'neutral', 'score': 0.025113627314567566}, {'label': 'anger', 'score': 0.0044383215717971325}, {'label': 'joy', 'score': 0.0028084658551961184}, {'label': 'surprise', 'score': 0.0022111134603619576}, {'label': 'sadness', 'score': 0.0019989016000181437}, {'label': 'disgust', 'score': 0.0018663785886019468}]]",positive,positive,0.2057,positive
Vikk,1.0,Mosquito loves this,2025-04-11,do not buy this stuff is fake  zero shame godrej and amazon seller,stuff godrej,"{'stuff': 'negative', 'shame': 'negative', 'godrej': 'negative', 'amazon': 'negative', 'seller': 'negative'}",fake,"('zero', 'CARDINAL')","[('disgust', 0.2824111878871918), ('embarrassment', 0.15785956382751465), ('annoyance', 0.1414026916027069)]","[[{'label': 'sadness', 'score': 0.34296664595603943}, {'label': 'anger', 'score': 0.33760926127433777}, {'label': 'neutral', 'score': 0.15885716676712036}, {'label': 'fear', 'score': 0.07155418395996094}, {'label': 'surprise', 'score': 0.06406600028276443}, {'label': 'joy', 'score': 0.020169390365481377}, {'label': 'disgust', 'score': 0.004777359776198864}]]",negative,negative,-0.6705,negative
Jagdish Kalra,4.0,"Size small, should be increased to run for a month.",2025-04-11,good product,good product,{'product': 'positive'},good,,"[('admiration', 0.6172888278961182), ('neutral', 0.16805608570575714), ('approval', 0.09166169166564941)]","[[{'label': 'neutral', 'score': 0.8036730289459229}, {'label': 'joy', 'score': 0.14797110855579376}, {'label': 'disgust', 'score': 0.018824240192770958}, {'label': 'sadness', 'score': 0.010956449434161186}, {'label': 'surprise', 'score': 0.010852250270545483}, {'label': 'anger', 'score': 0.006268120836466551}, {'label': 'fear', 'score': 0.0014547427417710423}]]",positive,positive,0.4404,positive
Rahul Som Chaudhury,2.0,Not effective,2025-04-06,not so effective,,{},effective,,"[('neutral', 0.3885239064693451), ('disapproval', 0.36657729744911194), ('approval', 0.0484209842979908)]","[[{'label': 'sadness', 'score': 0.6716569662094116}, {'label': 'neutral', 'score': 0.19860252737998962}, {'label': 'surprise', 'score': 0.06298475712537766}, {'label': 'anger', 'score': 0.030921828001737595}, {'label': 'disgust', 'score': 0.018282370641827583}, {'label': 'joy', 'score': 0.010198976844549179}, {'label': 'fear', 'score': 0.0073525612242519855}]]",negative,negative,-0.4158,negative
Neeru K Bhandari,5.0,Worth buy,2025-04-05,always a product praising,product,{'product': 'positive'},,,"[('neutral', 0.4080677926540375), ('approval', 0.1797967106103897), ('annoyance', 0.09594540297985077)]","[[{'label': 'joy', 'score': 0.7142246961593628}, {'label': 'surprise', 'score': 0.12706130743026733}, {'label': 'neutral', 'score': 0.11773957312107086}, {'label': 'disgust', 'score': 0.01510314829647541}, {'label': 'anger', 'score': 0.014924269169569016}, {'label': 'sadness', 'score': 0.009924186393618584}, {'label': 'fear', 'score': 0.0010228741448372602}]]",positive,positive,0.5423,positive
Jenny,1.0,Fake Products.!!,2025-03-31,half of the goodnight refill packs are fake has no odor even when used in a closed space fake products check the packaging after purchase,half goodnight refill pack odor close space fake product packaging purchase,"{'half': 'negative', 'goodnight': 'negative', 'refill': 'negative', 'packs': 'negative', 'odor': 'negative', 'space': 'negative', 'products': 'negative', 'packaging': 'negative', 'purchase': 'negative'}",fake fake,"('half', 'CARDINAL')","[('neutral', 0.4221504032611847), ('disapproval', 0.2115764319896698), ('annoyance', 0.1309209018945694)]","[[{'label': 'disgust', 'score': 0.7582563757896423}, {'label': 'neutral', 'score': 0.1580144613981247}, {'label': 'anger', 'score': 0.04435588791966438}, {'label': 'fear', 'score': 0.015471954829990864}, {'label': 'sadness', 'score': 0.014996758662164211}, {'label': 'surprise', 'score': 0.006544831208884716}, {'label': 'joy', 'score': 0.002359670354053378}]]",negative,negative,-0.8126,negative
